id,title,release_at,news_type.name,keyword_dpp,keyword_han,keyword_kmt,keyword_tsai,url
4Xam0pgGWA,韓國瑜是劃時代改革者！傅崑萁為挺韓四處奔走,2019-09-30 10:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/4Xam0pgGWA
Z3Wg0PZGaK,看到選情出現危機？韓國瑜陣營開始變陣...,2019-09-30 09:54:19,政治要聞,0,1,0,0,https://ctinews.com/news/items/Z3Wg0PZGaK
MyWk0r8da6,網路民調韓蔡差距太驚人 洛杉基啞然失笑,2019-09-30 06:01:02,政治要聞,0,1,0,1,https://ctinews.com/news/items/MyWk0r8da6
m0x7Dq4lnv,何韻詩遭潑漆 韓國瑜競辦呼籲相互包容尊重,2019-09-29 22:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/m0x7Dq4lnv
bKxrP2wRW9,「庶民尚大聲」街頭民調曝光 韓粉：投蔡我斷關係,2019-09-29 21:50:39,政治要聞,0,1,0,1,https://ctinews.com/news/items/bKxrP2wRW9
9pWzmoAVnv,胡幼偉：韓國瑜與庶民共治 才有意義,2019-09-29 20:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/9pWzmoAVnv
gzae5dELam,幫韓國瑜站台？ 馬英九4字回應,2019-09-29 18:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/gzae5dELam
Q8n85L7jWo,支持韓國瑜！台東立委候選人張志明成立後援大會,2019-09-29 14:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/Q8n85L7jWo
vZWBkJ04a7,韓國瑜民調落後...他分析引來網友殘酷回應,2019-09-29 14:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/vZWBkJ04a7
byWj4ZGBxY,郭粉砲打韓國瑜有道理？洛杉基提四大不解之處,2019-09-29 10:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/byWj4ZGBxY
gzae5d7Eam,柯P談韓國瑜民調 他竟加碼：韓市長他...,2019-09-29 10:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/gzae5d7Eam
p5W9D19eno,會再幫韓國瑜站台嗎？馬英九親自回應了,2019-09-29 10:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/p5W9D19eno
57nGdR9NWk,韓粉包圍黃捷罵垃圾 陳揮文嘆：會害死韓國瑜,2019-09-29 04:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/57nGdR9NWk
dynyBzV6WZ,海外台商返台相挺 韓國瑜：2020需雙贏,2019-09-28 17:40:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/dynyBzV6WZ
4Xam0p1XWA,震撼！妙天表態：將力挺韓國瑜,2019-09-28 16:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/4Xam0p1XWA
GVxo5V1QW8,韓國瑜兼副主席？網看戲：逼宮了！,2019-09-28 12:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/GVxo5V1QW8
Bda09l0qxL,高市祭孔大典 市長韓國瑜全程主祭,2019-09-28 12:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/Bda09l0qxL
dynyBzpQWZ,張善政遭爆 曾向郭表態：不挺韓國瑜？,2019-09-28 12:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/dynyBzpQWZ
bKxrP2QQW9,韓黑嚇傻！這3招一出 韓將逆轉勝,2019-09-28 10:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/bKxrP2QQW9
M9n6pbL4aR,韓國瑜民調慘輸？洛杉基踢爆真相,2019-09-28 10:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/M9n6pbL4aR
qXWQz4qwaR,韓施政報告出現這 黃捷忍不住笑場,2019-09-28 10:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/qXWQz4qwaR
JpnqvRdmWM,中間選民不挺韓？胡幼偉想出這招！,2019-09-28 10:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/JpnqvRdmWM
ogxwAmrEWG,郭粉要下架挺韓立委 挺藍網友直搖頭,2019-09-28 10:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/ogxwAmrEWG
gGaMymzMaK,「國師」詹惟中洩天機 韓國瑜贏2020要靠她！,2019-09-28 08:58:06,娛樂星聞,0,1,0,0,https://ctinews.com/news/items/gGaMymzMaK
JpnqvR5mWM,最強農民嗆他：看到韓國瑜就戰鬥力一百,2019-09-28 00:06:01,生活焦點,0,1,0,0,https://ctinews.com/news/items/JpnqvR5mWM
M9n6pbRraR,韓國瑜備詢結束 台灣基進披麻帶孝議會外大戰韓粉,2019-09-27 23:11:01,社會萬象,0,1,0,0,https://ctinews.com/news/items/M9n6pbRraR
v7x3Ze4laj,黃捷批選總統把兩團隊混在一起 韓國瑜8字嗆爆,2019-09-27 20:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/v7x3Ze4laj
m0x7Dqeknv,韓國瑜決定公開氣爆機密 網：大號吳音寧慘了！,2019-09-27 18:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/m0x7Dqeknv
M9n6pb4raR,【旺董開講】別抹黑、抹紅 蔡英文、韓國瑜該談台灣未來議題,2019-09-27 18:01:02,政治要聞,0,1,0,1,https://ctinews.com/news/items/M9n6pb4raR
MyWk0rPGa6,抓到了！黃捷又翻白眼 爆韓國瑜施政報告...,2019-09-27 18:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/MyWk0rPGa6
q6xV0DB9W7,註定總統命？他曝韓國瑜這天起大翻身,2019-09-27 16:13:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/q6xV0DB9W7
Bda09lZbxL,為什麼選總統？韓國瑜：民意與天意變化太大,2019-09-27 15:07:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/Bda09lZbxL
dynyBz2gWZ,推電競產業被打臉 韓國瑜回應了！,2019-09-27 15:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/dynyBz2gWZ
Q8n85L2pWo,韓民調大輸？夏春湧：等陸戰開始敵營聞風喪膽,2019-09-27 14:37:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/Q8n85L2pWo
8knJgAR6Wo,韓黑名嘴驚爆「韓國瑜死亡線」？網友傻眼,2019-09-27 14:34:55,政治要聞,0,1,0,0,https://ctinews.com/news/items/8knJgAR6Wo
